Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),HNOH(93),H2NX(201)
3.1812535122334133e-10,0.045450764422602166,0.0,0.0011229592052282844,0.0310753255117094,0.3194074648698457,0.3504836014542993,0.20701095038837483,0.09201812080071614,0.0,2.0191859577142338e-32,2.3325480571228942e-14,1.4484873554550007e-39,0.0,6.142444604312494e-54,2.8615735711829585e-11,5.3973530439509334e-42,2.1916947974010663e-37,1.4838981913367212e-63,3.5071847126903964e-23,1.6084929064492889e-31,9.775141439462207e-102,3.1571316646589645e-25,1.243075939106861e-69,9.80200297449395e-39,8.79400002436273e-71,2.3161264536865454e-14,3.803606091859559e-65,1.6398764164801527e-07,1.4984545465638156e-06,8.036162419559393e-07,1.190685217648865e-06,7.973191286269578e-07,4.725607351065231e-07,6.556600630273437e-10,3.3071173519379457e-09,2.2407593297325024e-17,3.4582066541471555e-10,3.0495239831436288e-09,1.5278079909477855e-07,1.2296005671999757e-24,4.7247270860088504e-07,3.831781064243365e-18,2.421700715138066e-15,2.066261086411715e-16,2.404024119001799e-08
3.194297149868689e-10,0.045450764422602166,0.0,0.0011229382084972234,0.03107532659638822,0.31940745581137076,0.35048359658708206,0.2070109458724602,0.09201812120237847,0.0,2.0437645072296003e-32,2.3421118531762494e-14,1.4695869315820874e-39,0.0,6.29491196106144e-54,2.8938428986551394e-11,5.48623476028468e-42,2.20970415789271e-37,1.5022257366942924e-63,3.5359575513917394e-23,1.6150879509178238e-31,9.977189168726544e-102,3.1783042652991223e-25,1.2584290979385402e-69,9.963385719359462e-39,9.012284032106735e-71,2.325555631736533e-14,3.866331192684593e-65,1.6398506353677673e-07,1.5045787937143692e-06,8.06653592695062e-07,1.1955524348308708e-06,7.999069008941825e-07,4.7446393304104505e-07,6.557104631547493e-10,3.3340325271555035e-09,2.2591292219027072e-17,3.499224996987736e-10,3.0729286256450193e-09,1.5338577916003974e-07,1.234642208310437e-24,4.7440085095801017e-07,3.889625694941098e-18,2.4680621922860973e-15,2.083180216419739e-16,2.3932170568186756e-08
3.2073407875039646e-10,0.045450764422602166,0.0,0.001122917215604356,0.03107532768000296,0.3194074467531489,0.35048359171998306,0.20701094136138476,0.09201812160433906,0.0,2.0685376706407702e-32,2.3516756490967922e-14,1.490911259397005e-39,0.0,6.450518494433069e-54,2.926356176670314e-11,5.5762082398581255e-42,2.2277872076820776e-37,1.5207035721769765e-63,3.564847569604328e-23,1.6216829951688764e-31,1.0182564156268936e-101,3.1995439871600813e-25,1.273908156168867e-69,1.0126750099968398e-38,9.235062324467705e-71,2.334984262752681e-14,3.929828586433323e-65,1.6398248959215713e-07,1.5107028855601397e-06,8.096914758558128e-07,1.200419533659991e-06,8.024899060326067e-07,4.763668520836979e-07,6.557612548958062e-10,3.3610546751283746e-09,2.2775737564281518e-17,3.540554682069683e-10,3.0964123319206322e-09,1.539905306114182e-07,1.2396838504508026e-24,4.7632892117518386e-07,3.948108233899167e-18,2.515122073215318e-15,2.1001678474800215e-16,2.382512803333067e-08
3.2203844251392403e-10,0.045450764422602166,0.0,0.0011228962265712064,0.03107532876256797,0.31940743769518,0.35048358685300246,0.20701093685513997,0.0920181220065984,0.0,2.0935061413167558e-32,2.361239444884526e-14,1.5124618899319166e-39,0.0,6.609315652435519e-54,2.959114366247702e-11,5.667282356174783e-42,2.2459439467625762e-37,1.539332311473946e-63,3.593854762944342e-23,1.6282780392026004e-31,1.0391307328048558e-101,3.220850845886739e-25,1.2895136278900022e-69,1.029211221128427e-38,9.462408558281147e-71,2.34441234676683e-14,3.994104579826136e-65,1.6397991981727137e-07,1.5168268221502763e-06,8.127298760771432e-07,1.2052865141535947e-06,8.050681526989607e-07,4.782694922475385e-07,6.558124380320213e-10,3.388183770504494e-09,2.296092929066592e-17,3.5821967125310745e-10,3.119974996345223e-09,1.545950529205027e-07,1.244725493625106e-24,4.782569192670107e-07,4.007233128251333e-18,2.5628880430809705e-15,2.1172239736924781e-16,2.371909922775491e-08
3.233428062774516e-10,0.045450764422602166,0.0,0.0011228752414188775,0.031075329844097388,0.31940742863746396,0.3504835819861402,0.20701093235371715,0.09201812240915705,0.0,2.1186706115841687e-32,2.3708032405394542e-14,1.5342403794661444e-39,0.0,6.771355511745216e-54,2.992118427646254e-11,5.759466018161638e-42,2.264174375127612e-37,1.5581125682743199e-63,3.6229791270288516e-23,1.6348730830191495e-31,1.0603459944253966e-101,3.24222485682132e-25,1.305246027194054e-69,1.0459488212386377e-38,9.694397290430253e-71,2.3538398838108215e-14,4.059165505124166e-65,1.639773542150995e-07,1.5229506035340275e-06,8.157687782166983e-07,1.2101533763291455e-06,8.076416495343574e-07,4.80171853545715e-07,6.558640123364396e-10,3.4154197879363625e-09,2.3146867355760307e-17,3.624152089603289e-10,3.1436165134111174e-09,1.5519934555986638e-07,1.2497671378373826e-24,4.80184845248168e-07,4.067004826662699e-18,2.611367840276907e-15,2.1343485891573367e-16,2.3614070010718538e-08
3.2464717004097917e-10,0.045450764422602166,0.0,0.0011228542601680544,0.031075330924605155,0.31940741958000096,0.35048357711939626,0.20701092785710754,0.09201812281201553,0.0,2.1440317727251964e-32,2.3803670360615803e-14,1.5562482895258432e-39,0.0,6.93669078278437e-54,3.0253693203640065e-11,5.852768170163252e-42,2.2824784927705947e-37,1.5770449562671557e-63,3.6522206574758227e-23,1.6414681266186775e-31,1.0819063600662298e-101,3.2636660350082794e-25,1.3211058681730723e-69,1.0628894326458068e-38,9.931103985115198e-71,2.363266873916493e-14,4.1250177201280345e-65,1.6397479278848698e-07,1.5290742297607405e-06,8.188081673493961e-07,1.2150201202041959e-06,8.102104051643174e-07,4.820739359914652e-07,6.559159775737567e-10,3.4427627020810465e-09,2.3333551717147142e-17,3.6664218126114053e-10,3.1673367777292706e-09,1.5580340800305782e-07,1.2548087830916684e-24,4.821126991334035e-07,4.127427752967325e-18,2.6605692566050865e-15,2.1515416879751343e-16,2.3510026457031753e-08
3.2595153380450673e-10,0.045450764422602166,0.0,0.001122833282839005,0.03107533200410498,0.31940741052279076,0.3504835722527706,0.20701092336530266,0.09201812321517433,0.0,2.1695903149755798e-32,2.3899308314509067e-14,1.578487186883676e-39,0.0,7.105374814818466e-54,3.0588680031376513e-11,5.947197791935907e-42,2.3008562996849366e-37,1.5961300891414596e-63,3.681579349904116e-23,1.6480631700013375e-31,1.1038160229998468e-101,3.285174395199197e-25,1.3370936649190564e-69,1.0800346840774972e-38,1.0172605021151084e-70,2.3726933171156797e-14,4.19166760817658e-65,1.6397223554014511e-07,1.535197700879859e-06,8.21848028765876e-07,1.2198867457963885e-06,8.127744281987975e-07,4.839757395981153e-07,6.559683335004305e-10,3.4702124876001793e-09,2.352098233241133e-17,3.709006878974594e-10,3.1911356840303246e-09,1.56407239724592e-07,1.2598504293920008e-24,4.840404809375346e-07,4.188506381803334e-18,2.710500137342674e-15,2.1688032642467195e-16,2.3406954855522098e-08
3.272558975680343e-10,0.045450764422602166,0.0,0.0011228123094515873,0.031075333082610367,0.3194074014658335,0.35048356738626313,0.20701091887829381,0.092018123618634,0.0,2.195346927522597e-32,2.399494626707437e-14,1.6009586435584724e-39,0.0,7.277461601073867e-54,3.092615433942284e-11,6.042763898641699e-42,2.3193077958640493e-37,1.6153685805861754e-63,3.7110551999335015e-23,1.6546582131672825e-31,1.12607921032944e-101,3.306749951857616e-25,1.353209931523949e-69,1.0973862106693257e-38,1.0418977699294618e-70,2.3821192134402176e-14,4.259121578145602e-65,1.6396968247265179e-07,1.541321016940918e-06,8.248883479708282e-07,1.2247532531234515e-06,8.153337272322159e-07,4.858772643790785e-07,6.560210798647963e-10,3.497769119159963e-09,2.3709159159140235e-17,3.751908284206554e-10,3.2150131271656525e-09,1.570108401999407e-07,1.2648920767424177e-24,4.859681906754468e-07,4.250245226614701e-18,2.7611683813963447e-15,2.1861333120732542e-16,2.3304841707378848e-08
3.2856026133156187e-10,0.045450764422602166,0.0,0.0011227913400252505,0.0310753341601346,0.319407392409129,0.35048356251987395,0.2070109143960725,0.09201812402239504,0.0,2.221302298503054e-32,2.409058421831174e-14,1.623664236814893e-39,0.0,7.453005783875401e-54,3.126612569991328e-11,6.139475540842691e-42,2.3378329813013496e-37,1.6347610442901952e-63,3.7406482031846487e-23,1.6612532561166645e-31,1.1487001831248222e-101,3.328392719163855e-25,1.3694551820796403e-69,1.1149456539637889e-38,1.0670300249599494e-70,2.3915445629219373e-14,4.327386064446597e-65,1.6396713358845198e-07,1.5474441779935454e-06,8.279291106812049e-07,1.2296196422031998e-06,8.178883108434796e-07,4.877785103478534e-07,6.560742164071812e-10,3.5254325714311684e-09,2.3898082154923663e-17,3.795127021915938e-10,3.2389690021083896e-09,1.5761420890552437e-07,1.2699337251469576e-24,4.878958283620918e-07,4.312648739716249e-18,2.8125819415441444e-15,2.2035318255562117e-16,2.3203673724384968e-08
3.2986462509508944e-10,0.045450764422602166,0.0,0.0011227703745790387,0.031075335236690767,0.31940738335267727,0.350483557653603,0.20701090991863003,0.09201812442645796,0.0,2.2474571150012805e-32,2.4186222168221222e-14,1.6466055491630756e-39,0.0,7.632062659804023e-54,3.1608603677366225e-11,6.237341804495022e-42,2.3564318559902527e-37,1.6543080939423476e-63,3.77035835527914e-23,1.6678482988496372e-31,1.171683236558348e-101,3.3501027110197717e-25,1.3858299306779634e-69,1.1327146619090882e-38,1.0926651838800426e-70,2.4009693655926706e-14,4.396467527025497e-65,1.639645888898589e-07,1.5535671840874568e-06,8.309703028243359e-07,1.2344859130535302e-06,8.204381875960113e-07,4.896794775180232e-07,6.561277428600182e-10,3.5532028190891363e-09,2.4087751277353852e-17,3.838664083806814e-10,3.2630032039544666e-09,1.5821734531870253e-07,1.2749753746096606e-24,4.89823394012487e-07,4.375721394572016e-18,2.864748824494715e-15,2.2209987987973828e-16,2.3103437827045175e-08
3.31168988858617e-10,0.045450764422602166,0.0,0.001122749413131595,0.031075336312291736,0.31940737429647836,0.3504835527874503,0.20701090544595793,0.09201812483082332,0.0,2.273812063047131e-32,2.4281860116802836e-14,1.669784168358285e-39,0.0,7.814688184874489e-54,3.195359782868676e-11,6.336371810943028e-42,2.375104419924178e-37,1.6740103432314122e-63,3.800185651839475e-23,1.6744433413663515e-31,1.1950327000408345e-101,3.3718799410534906e-25,1.4023346914107e-69,1.1506948888579556e-38,1.1188112577725877e-70,2.4103936214842447e-14,4.4663724513614064e-65,1.6396204837905443e-07,1.5596900352724558e-06,8.340119105359402e-07,1.2393520656924228e-06,8.229833660377751e-07,4.915801659032533e-07,6.56181658947963e-10,3.581079836813778e-09,2.4278166484025517e-17,3.882520459679144e-10,3.2871156279236095e-09,1.5882024891776492e-07,1.2800170251345666e-24,4.91750887641713e-07,4.4394677741948656e-18,2.9176770909399935e-15,2.2385342258988696e-16,2.300412114261858e-08
3.324733526221446e-10,0.045450764422602166,0.0,0.001122728455701166,0.03107533738695019,0.3194073652405321,0.35048354792141573,0.20701090097804756,0.09201812523549159,0.0,2.3003678276139934e-32,2.4377498064056618e-14,1.6932016874005562e-39,0.0,8.000938979733071e-54,3.230111770317035e-11,6.436574716913386e-42,2.393850673096547e-37,1.693868405846103e-63,3.830130088489071e-23,1.68103838366696e-31,1.2187529373574825e-101,3.393724422624085e-25,1.4189699783695755e-69,1.1688879955664809e-38,1.1454763528739466e-70,2.4198173306284875e-14,4.537107348465344e-65,1.6395951205809018e-07,1.5658127315984284e-06,8.370539201580571e-07,1.244218100137936e-06,8.255238547013042e-07,4.93480575517291e-07,6.56235964388007e-10,3.609063599289576e-09,2.446932773253578e-17,3.9266971374292615e-10,3.3113061693603515e-09,1.5942291918192315e-07,1.2850586767257171e-24,4.936783092649132e-07,4.5038923961491306e-18,2.9713748558709043e-15,2.256138100963094e-16,2.290571100306392e-08
3.3377771638567214e-10,0.045450764422602166,0.0,0.0011227075023056067,0.03107533846067859,0.31940735618483856,0.3504835430554994,0.20701089651489046,0.0920181256404633,0.0,2.3271250926167987e-32,2.4473136009982598e-14,1.7168597045343315e-39,0.0,8.190872334875274e-54,3.2651172842508175e-11,6.537959714509234e-42,2.4126706155007803e-37,1.7138828954750871e-63,3.860191660852264e-23,1.687633425751614e-31,1.2428483468037968e-101,3.415636168826204e-25,1.4357363056462635e-69,1.187295649192936e-38,1.1726686713210053e-70,2.4292404930572234e-14,4.608678754878982e-65,1.6395697992888878e-07,1.571935273115345e-06,8.400963182368939e-07,1.2490840164082075e-06,8.280596621037274e-07,4.953807063739633e-07,6.56290658889596e-10,3.6371540812055826e-09,2.4661234980484243e-17,3.9711951030503847e-10,3.335574723735011e-09,1.6002535559130126e-07,1.2901003293871544e-24,4.956056588972921e-07,4.5689997009497065e-18,3.0258502887292614e-15,2.2738104180927933e-16,2.2808194942904964e-08
3.350820801491997e-10,0.045450764422602166,0.0,0.0011226865529623833,0.031075339533489205,0.3194073471293977,0.3504835381897011,0.20701089205647813,0.09201812604573899,0.0,2.35408454091004e-32,2.456877395458082e-14,1.740759823248093e-39,0.0,8.384546215883607e-54,3.300377278079344e-11,6.640536031204295e-42,2.4315642471303046e-37,1.7340544258069666e-63,3.8903703645543175e-23,1.6942284676204644e-31,1.2673233613215078e-101,3.4376151924946657e-25,1.4526341873323806e-69,1.2059195232966043e-38,1.2003965119010441e-70,2.4386631088022748e-14,4.6810932326733844e-65,1.639544519932446e-07,1.5780576598732552e-06,8.431390915206025e-07,1.253949814521452e-06,8.305907967467941e-07,4.97280558487176e-07,6.563457421547422e-10,3.6653512572554195e-09,2.4853888185472927e-17,4.016015340633137e-10,3.3599211866446744e-09,1.606275576269273e-07,1.2951419831229212e-24,4.97532936554114e-07,4.634794308668614e-18,3.0811116132910395e-15,2.291551171391023e-16,2.271156069702347e-08
3.363864439127273e-10,0.045450764422602166,0.0,0.001122665607688579,0.031075340605394103,0.3194073380742094,0.3504835333240211,0.20701088760280198,0.09201812645131913,0.0,2.3812468542857957e-32,2.4664411897851294e-14,1.7649036522739975e-39,0.0,8.58201926868534e-54,3.3358927044528906e-11,6.744312929837026e-42,2.4505315679785454e-37,1.7543836105302902e-63,3.9206661952214277e-23,1.7008235092736629e-31,1.2921824486344918e-101,3.459661506208987e-25,1.4696641375194907e-69,1.224761297836605e-38,1.2286682708044789e-70,2.4480851778954635e-14,4.754357369447748e-65,1.6395192825282521e-07,1.5841798919222868e-06,8.461822269569898e-07,1.2588154944959573e-06,8.331172671169027e-07,4.99180131870912e-07,6.564012138781408e-10,3.6936551021372816e-09,2.504728730510632e-17,4.0611588323660837e-10,3.3843454538141583e-09,1.6122952477072504e-07,1.3001836379370609e-24,4.994601422507009e-07,4.701280867674988e-18,3.1371671079571104e-15,2.3093603549611564e-16,2.2615796198386617e-08
3.3769080767625485e-10,0.045450764422602166,0.0,0.0011226446665008986,0.031075341676405167,0.31940732901927366,0.3504835284584591,0.20701088315385363,0.09201812685720424,0.0,2.408612713471757e-32,2.476004983979407e-14,1.7892928055874993e-39,0.0,8.783350824830277e-54,3.3716645152635486e-11,6.849299708604729e-42,2.46957257803893e-37,1.7748710633335506e-63,3.95107914848072e-23,1.70741855071136e-31,1.3174301113846908e-101,3.4817751222978664e-25,1.486826670299104e-69,1.243822659170722e-38,1.2574924423804632e-70,2.457506700368608e-14,4.828477778328148e-65,1.6394940870917217e-07,1.590301969312643e-06,8.492257116911716e-07,1.2636810563500865e-06,8.356390816851259e-07,5.010794265392309e-07,6.564570737472853e-10,3.722065590553933e-09,2.5241432296991338e-17,4.106626558536289e-10,3.408847421096954e-09,1.6183125650550489e-07,1.3052252938336179e-24,5.013872760024329e-07,4.768463788054698e-18,3.194025106158916e-15,2.3272379629068887e-16,2.2520889575715593e-08
3.389951714397824e-10,0.045450764422602166,0.0,0.0011226237294156723,0.03107534274653407,0.31940731996459043,0.35048352359301527,0.2070108787096245,0.09201812726339488,0.0,2.436182798129263e-32,2.4855687780409174e-14,1.8139289024069787e-39,0.0,8.988600906788551e-54,3.407693661646169e-11,6.955505701057699e-42,2.4886872773048896e-37,1.7955173979051832e-63,3.981609219960259e-23,1.714013591933706e-31,1.3430708872680354e-101,3.503956052843626e-25,1.5041222997626759e-69,1.263105300054229e-38,1.2868776198953561e-70,2.466927676253526e-14,4.90346109796627e-65,1.639468933637027e-07,1.5964238920946019e-06,8.522695330631712e-07,1.2685465001022728e-06,8.381562489072379e-07,5.029784425062659e-07,6.565133214425804e-10,3.750582697212706e-09,2.543632311873735e-17,4.152419497529879e-10,3.4334269844761688e-09,1.6243275231495558e-07,1.3102669508166378e-24,5.033143378247452e-07,4.8363476310366536e-18,3.2516939961077187e-15,2.3451839893322335e-16,2.242682915110162e-08
