Distance (mm),T (C),P (atm),Ne,H4N2O2(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),HO2(39),NH2(85),H2NO(89),HNOH(94),N2H3(99),H3N2O(193),H2NO2(195),S(196),H2NO3(252),H2N2O(502),NNDO(506),NNO(515),S(566),X(1),HX(26),OX(27),CH3X(28),HOX(29),H2OX(30),CO2X(31),OCX(32),CX(33),CH2X(34),CHX(35),H2NX(212),SX(215),H2NOX(217),H3NOX(218),HNO3X(221),CH3OX(223),CH4OX(224),alpha
1.8645000000000003,772.8836409543529,1.0000000000000002,1.739944418374046e-31,4.162609292341502e-13,0.10786715393580662,0.005059320416448656,0.1549916581175591,0.3366764898590298,0.03550269704127812,0.0012243370343529313,0.1261824717591638,0.03540450063244553,0.005457136706380207,3.149846281465115e-12,1.5709901998881532e-06,4.913892927713253e-12,3.1024205924662833e-09,6.529266596496751e-16,9.827336125577135e-15,2.8540375767201547e-10,9.398533683737027e-26,2.0308173230183326e-12,7.314015750322233e-21,1.564840919668317e-16,1.6682856187517057e-20,1.2602202856551788e-05,9.603137756085224e-17,3.326093611939907e-06,1.7642561975334162e-05,0.16794273994558864,0.00630947509917418,0.01715030021274951,1.9497689050217077e-07,1.18198919314233e-12,3.9898896033395814e-16,2.7806540737045958e-11,7.497263446755901e-12,1.912986079320693e-05,0.00017724911885926527,3.919333116886884e-15,0.0007095039271700641,3.00737405223454e-10,0.04306014948976544,9.279797837434527e-17,4.213653386192526e-08,5.08149834032937e-08,2.0395553781019578e-20,1.2091135052070564e-14,3.600058328416402e-18,7.685996730424268e-22,2.619796687310607e-19,1.9804569947894813e-06,1.2650772132844052e-19,4.597440358469355e-06,5.3420895867803785e-08,2.5478131685903978e-09,0.9562236007773481,1.868686582224297e-08,169283754.12288466
1.87,772.9253379287344,1.0,1.73985752856636e-31,4.129859517276414e-13,0.10781706480311212,0.005011620906061319,0.15498391809375892,0.33671846370474867,0.035504083668385894,0.001225834583071728,0.1262236164452291,0.03539297922489222,0.005464704541186686,3.1706963098733975e-12,1.5707545494800405e-06,4.937701434048936e-12,3.110837111393914e-09,6.556769681814741e-16,9.840657569352095e-15,2.858781446440895e-10,9.419539940127204e-26,2.0273356446265867e-12,7.290819492021108e-21,1.5665936003111002e-16,1.6719052630542436e-20,1.2499958404479045e-05,9.625088740470103e-17,3.3013428025727324e-06,1.763500539489223e-05,0.1679688808863574,0.0063085337144583075,0.017150315687565105,1.9327959188874235e-07,1.1822487674613877e-12,3.9508391900867832e-16,2.75606482309056e-11,7.433265374515898e-12,1.9097121825119766e-05,0.00017568283514921476,3.851672634320071e-15,0.0007123419977163209,3.0297300838670535e-10,0.042953662780509425,9.282573913595477e-17,4.217786814722587e-08,5.102070928403949e-08,2.053010857345504e-20,1.2186930819521938e-14,3.6249215564892326e-18,7.690872138491415e-22,2.62092100841355e-19,1.9855748688187713e-06,1.2598072225499405e-19,4.611329153021527e-06,5.3592140409419436e-08,2.533023150309208e-09,0.9563272299330717,1.8757434860590318e-08,170785279.36185423
1.8755000000000002,772.9672115164354,0.9999999999999999,1.7397713933547205e-31,4.0973299408297915e-13,0.10776741119396058,0.004964343545641693,0.15497624528823745,0.3367601621922365,0.035505482510508966,0.0012273253531956939,0.12626441261148894,0.03538145143173186,0.005472272398308792,3.1916617353614897e-12,1.570520373204894e-06,4.961583444435604e-12,3.1192665568603873e-09,6.584373721784038e-16,9.854085853782211e-15,2.863544266010316e-10,9.440513563166228e-26,2.0239094113734556e-12,7.267713727316536e-21,1.5683696581354885e-16,1.675506505782183e-20,1.2398481948681668e-05,9.64697300885134e-17,3.276750517128471e-06,1.762751750659775e-05,0.16799468702605522,0.00630760706833662,0.017150337546084783,1.915963547982946e-07,1.1825059930895509e-12,3.912150346711026e-16,2.731716284621271e-11,7.369780314342892e-12,1.9064431012305598e-05,0.00017412908440781272,3.7851390472374264e-15,0.0007151936007060374,3.052267807461481e-10,0.04284742910699087,9.285321621191557e-17,4.2219325976161754e-08,5.1227365346367416e-08,2.0665499282904942e-20,1.2283397127242677e-14,3.649958777559947e-18,7.695737132059629e-22,2.6220392010155804e-19,1.9907113226933003e-06,1.2545501454699613e-19,4.62526883913189e-06,5.3764230400062685e-08,2.5183091135367932e-09,0.9564305924488306,1.8828322423578577e-08,172290513.9282855
1.8810000000000002,773.0092600758315,1.0000000000000002,1.7396860062410859e-31,4.065019458371686e-13,0.10771818931841544,0.004917484677589094,0.15496863912215875,0.3368015876909976,0.035506893450808104,0.0012288093932969165,0.12630486328349505,0.03536991731809838,0.005479840271434956,3.212743158466143e-12,1.5702876548781802e-06,4.98553923222331e-12,3.127709008812233e-09,6.612079190481425e-16,9.867620673208347e-15,2.8683259994352185e-10,9.46145472983157e-26,2.0205382176690193e-12,7.244698353916257e-21,1.5701689994693076e-16,1.679089412313913e-20,1.2297767908293684e-05,9.668790781550142e-17,3.25231594860337e-06,1.7620097669496565e-05,0.1680201612758133,0.006306695053045887,0.01715036571545531,1.8992706742580858e-07,1.1827608838170969e-12,3.8738198551365113e-16,2.7076055043999494e-11,7.306804441821667e-12,1.9031788447398727e-05,0.00017258778394789757,3.719714260767642e-15,0.00071805876514754,3.074988482143403e-10,0.04274144896102711,9.288041434328144e-17,4.2260906692076535e-08,5.14349536313529e-08,2.0801731266093434e-20,1.2380538200454768e-14,3.675171095806794e-18,7.700591997795978e-22,2.623151389323427e-19,1.9958663311223198e-06,1.2493059546843174e-19,4.639259429920206e-06,5.393716636316166e-08,2.5036705173341546e-09,0.9565336878038107,1.8899529331370607e-08,173805306.2460095
1.8865,773.0514819799715,1.0000000000000002,1.739601360788047e-31,4.0329269676206247e-13,0.10766939542262502,0.004871040678881039,0.1549610990220879,0.336842742548101,0.03550831637352519,0.0012302867516402922,0.1263449714577397,0.035358376949061444,0.005487408154313226,3.233941182462178e-12,1.5700563784223892e-06,5.00956907125553e-12,3.136164546879728e-09,6.639886562803655e-16,9.881261727190513e-15,2.8731266112437603e-10,9.482363616494303e-26,2.01722166265868e-12,7.221773273135805e-21,1.5719915323041748e-16,1.6826540484929366e-20,1.2197810751056878e-05,9.690542279293289e-17,3.228038293248172e-06,1.76127452494245e-05,0.16804530651919652,0.006305797561713287,0.017150400123720797,1.882716189390062e-07,1.183013453355455e-12,3.8358445273610666e-16,2.6837295747035526e-11,7.2443339621464275e-12,1.8999194221057557e-05,0.00017105885146148354,3.655380463315268e-15,0.0007209375196317697,3.09789337042535e-10,0.042635722845193944,9.290733828957028e-17,4.230260964323761e-08,5.164347614781604e-08,2.0938809910589682e-20,1.2478358277201162e-14,3.7005596187577375e-18,7.705437024950029e-22,2.624257698225353e-19,2.0010398675669288e-06,1.244074623067425e-19,4.653300935283136e-06,5.411094879370951e-08,2.4891068266662326e-09,0.9566365154668586,1.8971055265943685e-08,175312319.08856896
1.8920000000000001,773.0938756164109,1.0000000000000002,1.7395174506181248e-31,4.00105136867438e-13,0.10762102578838792,0.004825007960661796,0.1549536244199285,0.3368836290884499,0.035509751163970676,0.0012317574761857312,0.12638474010200784,0.03534683038962053,0.005494976040750233,3.2552564133725984e-12,1.56982652786563e-06,5.033673235868356e-12,3.1446332503814026e-09,6.667796314478874e-16,9.895008720419046e-15,2.8779460664771843e-10,9.503240398945937e-26,2.0139593501488994e-12,7.19893838986019e-21,1.5738371662666134e-16,1.6862004806185757e-20,1.2098604992688454e-05,9.712227723215039e-17,3.203916750552348e-06,1.7605459618912874e-05,0.16807012561253712,0.006304914488345521,0.017150440699810938,1.8662989946688094e-07,1.1832637153379336e-12,3.7982212051080167e-16,2.6600856331246974e-11,7.182365109815532e-12,1.896664842197597e-05,0.0001695422050194168,3.592120122101703e-15,0.0007238298923473825,3.120983738206247e-10,0.042530251273578734,9.293399283125936e-17,4.23444341837908e-08,5.18529348730461e-08,2.1076740635912282e-20,1.2576861608541201e-14,3.726125457364123e-18,7.71027250556472e-22,2.6253582533592455e-19,2.0062319042914073e-06,1.2388561237782898e-19,4.667393362012368e-06,5.428557815923958e-08,2.4746175124233118e-09,0.9567390748957161,1.9042901587731058e-08,176829029.69441333
1.8975000000000004,773.136439387053,1.0,1.7394342694130596e-31,3.9693915640385013e-13,0.10757307673272443,0.004779382967837244,0.15494621475285927,0.33692424961504436,0.0355111977085109,0.0012332216145903257,0.12642417215572188,0.03533527770469888,0.005502543924610127,3.2766894599798322e-12,1.5695980873402266e-06,5.0578520008909695e-12,3.1531151983284335e-09,6.695808922077871e-16,9.908861362627576e-15,2.8827843306816783e-10,9.524085252424927e-26,2.0107508885350528e-12,7.176193612505012e-21,1.5757058125896497e-16,1.689728775436754e-20,1.2000145196258811e-05,9.733847334858936e-17,3.179950523228029e-06,1.7598240157095467e-05,0.16809462138526157,0.006304045727818032,0.017150487373529165,1.8500180008841726e-07,1.1835116833204307e-12,3.760946759483464e-16,2.6366708617314453e-11,7.120894148330741e-12,1.8934151136901793e-05,0.0001680377630710166,3.529915978778643e-15,0.0007267359110121308,3.144260854330148e-10,0.04242503476990873,9.296038276644952e-17,4.238637967124132e-08,5.206333174801391e-08,2.121552889127893e-20,1.2676052457292882e-14,3.751869725644433e-18,7.715098734202627e-22,2.626453181019226e-19,2.0114424121780243e-06,1.2336504301611338e-19,4.681536713370259e-06,5.4461054894806444e-08,2.460202051146187e-09,0.9568413655389651,1.911506851757794e-08,178349704.44239515
1.9030000000000002,773.1791717079876,1.0000000000000002,1.7393518109131215e-31,3.937946458655429e-13,0.10752554460745495,0.00473416217867598,0.15493886946327276,0.33696460640924114,0.03551265589455581,0.0012346792142105024,0.12646327053028256,0.03532371895913768,0.005510111799813558,3.2982409338373566e-12,1.5693710410813457e-06,5.082105641646552e-12,3.1616104694289886e-09,6.72392486302523e-16,9.92281936850736e-15,2.887641369900397e-10,9.54489835164303e-26,2.0075958907296747e-12,7.153538852977605e-21,1.5775973840851582e-16,1.69323900013089e-20,1.1902425971579498e-05,9.755401336179687e-17,3.1561388171942702e-06,1.7591086249618807e-05,0.16811879664021326,0.006303191175864465,0.017150540075541135,1.833872128214905e-07,1.1837573707821357e-12,3.724018090638684e-16,2.6134824862446977e-11,7.0599173699008106e-12,1.8901702450648383e-05,0.0001665454444437078,3.4687510451164923e-15,0.0007296556029902065,3.167725991122834e-10,0.042320073871635756,9.298651292049601e-17,4.2428445472168214e-08,5.227466868572556e-08,2.1355180161379908e-20,1.2775935100033594e-14,3.777793541282966e-18,7.719916008751548e-22,2.6275426084294375e-19,2.0166713610685727e-06,1.228457515967484e-19,4.695730989870598e-06,5.46373794118787e-08,2.4458599253939154e-09,0.9569433868318171,1.9187556547989825e-08,179874411.45617294
1.9085000000000003,773.2220710093344,1.0000000000000002,1.7392700689164307e-31,3.9067149599327797e-13,0.10747842579878504,0.004689342104416532,0.15493158799871462,0.3370047017310091,0.03551412561054675,0.0012361303221041474,0.12650203810940372,0.03531215421769048,0.0055176796603366805,3.3199114492779208e-12,1.5691453734256492e-06,5.106434433949219e-12,3.1701191420924974e-09,6.752144615610324e-16,9.936882457623908e-15,2.8925171506656095e-10,9.565679870811436e-26,2.0044939740934088e-12,7.130974026641298e-21,1.5795117951164142e-16,1.6967312223128797e-20,1.1805441974607762e-05,9.776889949545015e-17,3.132480841561799e-06,1.7583997288551038e-05,0.16814265415396984,0.006302350729066251,0.01715059873736332,1.8178603061196403e-07,1.184000791126221e-12,3.687432127439498e-16,2.590517775233666e-11,6.999431095150343e-12,1.8869302446110425e-05,0.00016506516834264724,3.4086085987656723e-15,0.0007325889949604719,3.191380422535941e-10,0.042215369119915316,9.301238812482055e-17,4.2470630948025286e-08,5.248694754753686e-08,2.149569995251915e-20,1.2876513821119194e-14,3.803898023908746e-18,7.724724628670987e-22,2.628626663143617e-19,2.0219187188496287e-06,1.2232773548115245e-19,4.709976187159266e-06,5.481455207343614e-08,2.4315906225900197e-09,0.9570451382064703,1.9260366152780536e-08,181403217.987637
1.9140000000000004,773.2651357350916,0.9999999999999996,1.7391890372782874e-31,3.875695977770424e-13,0.10743171672689679,0.0046449192888805705,0.154924369811824,0.33704453781918187,0.035515606745944645,0.0012375749850327155,0.12654047774944266,0.03530058354501768,0.005525247500210175,3.3417016234256777e-12,1.568921068809963e-06,5.130838654105511e-12,3.1786412944338596e-09,6.780468658998227e-16,9.951050354334417e-15,2.8974116399910085e-10,9.586429983666693e-26,2.0014447603658667e-12,7.108499052275609e-21,1.581448961571751e-16,1.700205510014181e-20,1.1709187906852619e-05,9.79831339773754e-17,3.108975808617193e-06,1.7576972672295757e-05,0.16816619667715602,0.006301524284842438,0.017150663291351804,1.8019814732295446e-07,1.184241957680525e-12,3.6511858271385937e-16,2.5677740393279852e-11,6.939431672832437e-12,1.8836951204278257e-05,0.00016359685435033555,3.349472179086327e-15,0.0007355361133868793,3.215225426567608e-10,0.04211092107460749,9.303801325058445e-17,4.251293547653718e-08,5.270017017688348e-08,2.1637093814214996e-20,1.2977792921064047e-14,3.830184297520495e-18,7.729524897766027e-22,2.6297054739983115e-19,2.0271844527697223e-06,1.2181099209932726e-19,4.724272299058545e-06,5.4992573229475864e-08,2.417393636581095e-09,0.9571466190766384,1.9333497799477e-08,182936194.1676922
